"Your Own Overworld","","High Flyin'","","The Twilight Forest (And Friends)","","Up In The Clouds","","The Core Of The Center Of The Overworld","","Lovecraft? No, Thaumcraft. (Unfinished)","","Paradise In Another Dimension","","The Endless Dunes","","Deep, Dark And Dank (Pre-Anidia Update | Unfinished)","","Buggin' Out","","Alone In The Dark (Unfinished)","","Some Wizardry Required (Unfinished)","","Dragons & Dungeons","","Pam Says You're A Farmer Now","","Growing Gold, Literally!","","The Most Unique Crops (Unfinished)","","Dungeon Tactics","","The Good And The Damned","","Reliquary (Of Ancient Artifacts!)","","Inventory Pets","","The Most Messy Chapter (Unfinished)","","Extra Utilities","","Interdimensional Adventures","","Caverns II (Unfinished)","","Spartan Weapons Collection","","The Grind Don't Stop","","Amazing Architects","","Feats of Strength",""
"Its My Money and I Need It Now","","Balloon Upgrade (Tier 5)","","Ghetto Style","","Slide to the Left!","","Heat","","Thaumium Essentia Smeltery","","Air Compressor","","Shu's Breath","","The Old Fashioned Way","","Almost A True Fly!","","Tenebrum Ingot","","Apprentice Sage Tome","","College All Over Again","","500x Cactus Fruit","","Fiery Ingot Seeds","","","","Simple Protection","","Only Comes In Black And White","","Monster Mash (Warmup)","","Pet Pets!","","Your Second Wind!","","Quintuple Compressed Cobblestone","","Let Me In---!!","","","","Jungle Myrmex Hammer","","Artefact Trader (Diamond)","","Warped Farmland","","Barrishee Banisher",""
"The Best Brew","","Engine Upgrade (Tier 5)","","Maze-Runner","","Chick Maker","","The Firey Forge of Flame","","Hungry Chest","","Midget Murderer","","Atum's Will","","The Basics","","Third-World Dimension","","Nightstone","","Cold Hearted","","Back Foul Beast!","","Mustard Seed","","Skeleton Seeds","","","","You're The Best Pirate I've Ever Met","","The Great Tablets","","Burning Knowledge","","You Just Don't Know","","Where Did It Come From?","","Octuple Compressed Cobblestone","","Where'd He Go?","","","","Iron Spear","","Scale Seller (Dragons)","","Warped Altar","","Nagamancer",""
"Spin to Win","","Balloon Upgrade (Tier 1)","","Lamp of Cinders","","Backaech","","The Dawn of Stone","","Auxiliary Slurry Pump","","You Have A Problem","","Ra's Fury","","Sludge Slurpee","","The Ants And The Bees","","Ebonite Pickaxe","","Icey Metal","","KISS Would Be Jealous Of This Thing","","Millet Seed","","Ironwood Seeds","","","","The Soul Bowl","","See-Me-Not-Dust","","The Priests Revenge","","Holiday Helpers","","Charged Up!","","Filtering Filters With Filters","","Temporal Traveler","","","","Dragonbone Spear","","Ghost Buster","","Warped Observation Tower","","Cheating Death V",""
"My First Dog!","","Core Upgrade (Tier 5)","","CAUTION: DANGEROUS","","Back Foul Beast!","","Is It Leaking?","","Thaumic Augmentation","","Zircon Crystal","","Tefnuts's Rain","","Yea ''Loot''","","Praying To Bugs?","","Nightshroom Spore Bomb","","10 Years Of Study","","I Feel Like A Fairy","","500x Taro","","Wither Skeleton Chunk","","","","Shadow Battle","","detnahcnesiD","","Essence Aficionado","","Inanimate Intimacy","","The Remote Remote","","Now Do It Again","","World Walker","","","","Lead Ingot","","64x Bat Wing","","Warped Spa","","Of Fire And Ice",""
"Better Take Me Back Block","","Core Upgrade (Tier 2)","","The Twilight Zone","","Blistering","","How Does Anyone Do Anything Around Here?","","Warded Jar","","So No Head?","","Your Dad's Death Gift","","C'mout Wher'ever Y'ar!","","Bug Gods, Oh Bug Gods!","","Rouxe Rock","","The Best Advice","","Abominable Snowman","","500x Coconut","","Amber Seeds","","","","Prince Charming","","Slain To Rest","","Infinite Water Source Ain't Nothing Now","","Feed When You Need","","You Can't Stop The Rain--","","I Always Feel Like","","And Going, And Going, And Going","","","","Silver Spear","","Cube Killer","","Warped Farmland + Tainted Tree","","Journey Juror",""
"Tent Mallet","","Core Upgrade (Tier 4)","","Hail Hydra!","","Mo Moas!","","Transmutation","","Vis Regenerator","","Fishy Fellow","","Atum's Protection","","Spicy Life","","Some Bugs Run Up To 10 MPH","","Nagrilite Ingot","","Flawlessly Cut","","Spicy Dragon Wings","","500x Brussel Sprout","","Does It Look Like I Care?","","","","One Bit Of Info","","Father I Come To You A Sinner","","Where Did He Come From?","","The Mythical Magical World Of Inside Jokes","","This Is Crazy...","","I THOUGHT YOU SAID NO AUTOMATION DREAMS","","Tranquil","","","","Lead Dagger","","Mander Manslaughter","","Paste Container","","Rekting Ball I",""
"Begone!","","Lesser Speed (Module)","","Phantom Armaments","","More Life, More Love","","Rock-Em Sock-Em Steve","","Endless NOT FREE Water","","Elijah's Eyeballs","","Anput's Hunger","","Syrmorite Armaments","","Bug Tamer","","Tenebrum Pickaxe","","Ancient Altars","","Building With Bones!","","500x Vanilla Bean","","Valonite Seeds","","","","Ankle Biter","","Hoodoo Boodoo Voodoo!","","Magicbane? More Like MagicBANG!","","Critters And Crawlies","","You, You, You, Not You","","Silence Is Golden!","","Your Pocket Portal","","","","Tin Spear","","Bat Outta' Hell","","Building Gadget","","Mob Mobster II",""
"Bronze Coin Turn-In","","Balloon Upgrade (Tier 3)","","Minishroom","","Victory or Death!","","Ten Dozen Drunk Dwarves","","Goggles of Revealing","","Deep Diver","","Montu's Blast","","From Death, Comes Life","","Did You Ever Even Have An Ant Farm?","","Geode","","A Stick You Picked Up","","Sterling","","Kale Seed","","Superium Watering Can","","","","Hammer Away","","Familiar Following","","Is This How Pads Work?","","","","Slime Zone","","Sun Crystal","","Broken? (TESTING REQUIRED)","","","","Silver Dagger","","Pyradical","","Warped Jar Storage","","Ghastastic",""
"This Isn't Going To Happen All Over Again Is It?","","Engine Upgrade (Tier 2)","","Giant's Pickaxe","","Lettuce Pray","","Is It Flammable?","","Wonderous Work","","Floral Fellow","","Anubis's Mercy","","Ring of Friendship","","Damn Mosquitos","","Tenebrum Helmet","","Master Sage Tome","","Colder Than My Ex","","Chili Pepper Seed","","Glowstone Seeds","","","","Soul Saver","","Why Do I Keep Catching Dinks?","","Micheladas!","","","","If Scotty Was An Enderman","","Little Splash Of Sinister","","Golden Danger Door!","","","","Diamond Katana","","64x Squid Beak","","Template Manager","","Menace To Sludgeciety",""
"EUREKA!","","Lesser Water Landing (Module)","","May The Forest Protect You","","You Mean Poseidon?","","Nicholas Flamel Was Cheating if He Used This Thing","","Thaumium Ingot","","Bing Bang Bong","","Silencing The Speaker","","Magic Clean Machine","","Jade Made","","Bogshroom Spore Bomb","","Shocking!","","Frozen Set Of Tools","","Beet Seed","","Mystical Stick","","","","Fist Packs But More Fatal","","The Baddest Lich In Town","","Wait, There's Two?","","","","Death Is A Nuissance","","C'mere Lassy!","","Primdorial Shadow","","","","Steel Spear","","For Peat (Mummy) Sake!","","Construction Block Powder","","Foliaath Feller",""
"Your Journey Begins","","Airship - 'Betsy'","","Yellow-Brick-Street","","I Have the Power!","","Oh Yea, This Has to Be the Way","","Alchemical Brass Ingot","","Coral Collector","","Rod Washer","","Tune-up","","Like A Weed Wacker, But Powder","","Viridshroom Spore Bomb","","Ancient Archmage","","The Slash Swinging Slasher","","500x Coffee Beans","","Supremium Seed Reprocessor","","","","Ender Chest Did Its Best","","Papes On Papes On Papyrus","","Hot Chicken Place","","","","You've Got, Mail!","","Who Named This?","","Begone Foul Demon!","","","","Myrmex Stinger","","Clearing The Foliaage","","","","Trader Joe III",""
"The First Tools","","Lesser Fuel Efficiency (Module)","","Ironwood Armaments","","Exotic Egg Omelette","","Woah Bessy","","Arcane Stone","","Sea Shore Sally","","Anubis's Wrath","","Box Boogy","","Is It Edible?","","Nightstone Pickaxe","","Out Of Control Aronist","","VVS Diamond Dragon Armor","","Agave Seed","","Prudentium Watering Can","","","","Weapons Of Uniquity","","Death Is Just The Beginning","","Hot Rod","","","","It's Corrupt Because It's Cheating","","Septuple Compressed Cobblestone","","Source Of Darkness","","","","Desert Myrmex Stinger Katana","","Menace No More!","","","","Mob Mobster IV",""
"Remote Key-trol","","Frame Upgrade (Tier 3)","","1-800-Bug-Away","","The Sharpest Armor Around","","Cataclysmic?","","Vis Generator","","Water Wisk-Awayer","","Is it real!?","","From Seedling To Sprout","","Smoothie Co. Inc. LTD.","","Freaky Flora!","","Automagical Sorting","","Pray Away The Bird Of Prey","","500x Agave","","Intermedium Watering Can","","","","Book Of Shinies","","My Family Was Rich","","She Flew, She Flew So Far Away","","","","HOT HOT HOT","","What's It Say, John?","","","","","","Ice Dragonsteel Spear","","The Goonies!","","","","Cheating Death III",""
"At Your Waistline","","Airship Workbench","","The Hydra, The Lich, and The Forest","","COME BACK!","","Stamp Champ","","Charm of Undying","","Zircon Hoe","","String, Glorious String!","","Octine Tools","","To Flea, Or Not To Be","","Shadowroot Pickaxe","","Bringing The Storm To You!","","Silver-Spoon Fed","","Rambutan Sapling","","Nether Quartz Seeds","","","","BONK","","","","She Loves Me, She Loves Me Not","","","","Waving The White Flag","","It's My Power And I Need It Now!","","","","","","Fire Dragonsteel Spear","","32x Block of Fiery Metal","","","","Did You Do It With A Slingshot?",""
"Directions to the Inn?","","Frame Upgrade (Tier 4)","","Fake Phantom","","If the Dirty Bubble Was Clean","","Tear Fang?","","Basically The Bible","","Reptilian Protection","","Nuit's Duality","","Ecologist","","Terranium Trees","","The Midnight Munchies","","It's All In The Technique","","Hot Kool-Aid","","500x Nutmeg","","Steeleaf Seeds","","","","Good Reads","","","","Parry This, You &%@#ing Casual","","","","Like A Dustmite, But Evil","","You're A Thief, Huh?","","","","","","Desert Myrmex Stinger Dagger","","Steve The Giant Slayer","","","","A Liking Towards Liches",""
"I Have the Power!","","Engine Upgrade (Tier 3)","","Isn't This Just Taproot?","","Honorable Mentions","","Atmometer","","Thaumium Fortress Helm","","Eudialyte Hoe","","Isis's Healing","","Dentist?","","Jurrasic Park ALL OVER","","Bogshroom Sporch","","Talk About Deeply Rooted","","White Caterpillars Are The Most Deadly Of Them All","","500x Grape","","Peridot Seeds","","","","Turn The Tunes On!","","","","Remembender","","","","Where'd You F-eye-nd This Son?","","Chesty Hands","","","","","","Iced Dragonbone Katana","","32x Block of Syrmorite","","","","Cheating Death",""
"Lean Cuisine!","","2x Airship Engine","","Venison Steak","","Ba-na-na-na-na-na","","Homemade Hibachi!","","Arcane Spa","","Fruity Fellow","","They Say They Like Shiny Stuff","","Rain Boots? No RUBBER Boots!","","Mecha-Scorpo","","Visit the Midnight","","Charmin Unbreaka-ply","","The Big Bad Wolf Wants His Gust Of Wind Back","","500x Soybean","","Tier 3 Inferium Seeds","","","","Magic! But Wait There's More!","","","","Meet Your Maker!","","","","If Moses Was A Wizard?","","The Gentle Gardener","","","","","","Iced Dragonbone Dagger","","Night Terrors","","","","Bounty Boy",""
"Better Than Gold","","Frame Upgrade (Tier 1)","","Ghastly Ghasts","","Sss..... Ahh...... Sss.... Ahhhhhhh....","","The Armor Eater","","Potion Sprayer","","Sifter","","Halo of Ra","","The Great Voodini!","","Flower Power","","Shadowroot Log","","The Wizardly Wizard's Guide To Wizardry","","Right Below The Water","","Pineapple Seed","","Nature Seeds","","","","Where's My Mechanical User!","","","","Is It Safe To Eat?","","","","Obsidian Armaments, But Even Better","","Upgrade Base","","","","","","Thaumium Ingot","","Ghast Gangsters","","","","Hyper-Hydra-osis",""
"Primitive","","Engine Upgrade (Tier 1)","","Yeti Horned Helm","","The Best Guide Book","","I've Bin There","","Sanity Checker","","Bamboo Bundle","","Geb's Toil","","A Skeleton Key?","","Door Who--... Sorry","","Dewshroom Spore Bomb","","A Better, Bigger Stick!","","Heart Of Poisonous Hatred","","500x Elderberry","","Fire Seeds","","","","Skeet Rockets","","","","I Said Something And It Did Something","","","","Barbossa?","","The Fastest Farmer In The West","","","","","","Desert Myrmex Dagger","","Carminite Crusher","","","","Quest Completer",""
"The One That Couldn't Get Away","","Airship Core","","Father Time","","Cloud Chaser","","The Rookies and the Pro","","Essentia Centrifuge","","Invasive Species!","","Horus's Soaring","","Going Up!","","This Gear Stinks","","Ebonite","","Why Won't You Die!?","","Somebody's Watching Me---","","Barley Seed","","Marble Seeds","","","","Plant Picker","","","","From Red Comes Yellow!","","","","Smack It Till It's Where You Want It!","","Earth, Fire, Storm","","","","","","Dragonbone Dagger","","64x Copper Block","","","","I CURSE NOBODY!",""
"Emerald Tools","","Airship Frame","","Charm of Life II","","The Pork Punisher","","Copper Ingot","","Liquid Death Bucket","","Eudialyte Shard","","Ring Bling","","They’ve Got It All","","Basic Bamboo","","Bladeshroom Cap","","20 Years Of Study","","Knight In Shining Armor","","500x Rambutan","","Ruby Seeds","","","","You May Kiss The Bride","","","","Prince Charming","","","","Escapé","","Sextuple Compressed Cobblestone","","","","","","Jungle Myrmex Stinger Dagger","","Leech Therapy","","","","Magical Mystical Mythical Magician II",""
"Upgrading Your Backpack","","Lesser Storage (Module)","","Mazebreaker","","Apocalypto","","Barbaric Bronze","","Boots of the Traveller","","Somebody Come Get Her","","Shiny Scarab","","This Is My Swamp!","","Buglight","","Nagrilite Pickaxe","","Fighting Fire With Fire!","","The Hottest Fires Of The Nether","","500x String","","Rabbit Seeds","","","","Why Don't The Books Have A Common Name?!!!?","","","","She Spits, She Scores!","","","","The Shoot Chute","","The Plains Punisher","","","","","","Fire Dragon Blood","","500x Block of Ambrosium","","","","Batter Bandit II",""
"Visit the Overworld","","Lesser Cruise Control (Module)","","Peek-A-Peacock","","Lil Zanite","","Focused Flavor","","Essentia Tube","","Beach Vacation","","Seth's Sting","","Green-Thumb","","Ready To Rumble!","","","","Hey, Bighead!","","Food Of The Gods","","500x Pineapple","","Slime Chunk","","","","Ever Been To Prison?","","","","Running Up The Stairs At Mach 5","","","","The Sponge-ovel","","Double Compressed Cobblestone","","","","","","Iced Dragonbone Flanged Mace","","64x Nebulous Heart","","","","Malevolent Shmevolent",""
"Who Knew an All Stone Base Could Be So Pretty","","Core Upgrade (Tier 1)","","Now I Lay You Down To Sleep","","Who Was Wearing This Before You?","","The Fire Gun","","Magic Mirror","","Relaxing","","Ptah's Decadence","","Never lost","","Bugs Oh Glorious Bugs!","","","","Where the Magic Happens","","Nuisance In A Jar","","Lettuce Seed","","Ghast Chunk","","","","Like Ruby Slippers, But Brown, And Ropey","","","","From The Ashes","","","","Artificial Ender","","Taking Over The World With Redstone","","","","","","Dawnstone Dagger","","Chupacabra","","","","Bounty Man",""
"Purple Diamonds!","","Frame Upgrade (Tier 2)","","Fiery Helm","","Am Bro Shard","","Now This Is Real Alchemy!","","Salty","","","","Shu's Swiftness","","Visit The Betweenlands","","Nice And Crunchy!","","","","To Kill a Mocking Mage","","Classic Armaments","","500x Breadfruit","","Sheep Seeds","","","","Spartans... !","","","","Ice Mage's First Friend","","","","Built To Last","","That Burnt Stuff","","","","","","Dawnstone Warhammer","","Un-Cockatraceable","","","","Wrought Not!",""
"How Teams and Team Rewards Work","","Fuel Mule!","","CHARGE--!!!!!","","The Cloud Shooter","","You Should Be a Real Mechanic for This Part","","Arcane Levitator","","","","Nuit's Vanishing","","Weedwood This Weedwood That","","Nectar Collector?","","","","I Need More Mana!","","Diggin With Dead Stuff","","Starfruit Sapling","","Supremium Apple","","","","Lumberjack Jack","","","","In The Shadows","","","","No Air Pockets","","Isn't There One In The Corner?","","","","","","Gold Ingot","","Goblin Goons","","","","Rekting Ball IV",""
"Meats for Days","","Lesser Altitude (Module)","","Trophy Pedestal","","Am Bro Torch","","Tin Ingot","","Amulet of Vis","","","","Don't Lose It Again!","","Drink Mixer 3000","","Sting Like A Bee, Die Like A Bee","","","","All Nature-Al","","The Coldest Fires Of The Nether","","500x Starfruit","","Dawnstone Seeds","","","","Powder Keg Go BOOM","","","","Be Careful What You Touch","","","","Okay We're Actually Playing Terraria?","","Triple Compressed Cobblestone","","","","","","Lead Katana","","Mim-I-Cry","","","","On Thin Ice",""
"White Sleeping Bag","","Balloon Upgrade (Tier 4)","","Twilight Lich In A Twilight Ditch","","Astrology Girls","","The Melter Shelter","","Celestial Notes","","","","Ring Ringers","","Gecko No Like-O","","Smooth Smoothie","","","","I See Dead People","","The Never-Lose-Me Gem","","500x Flax","","Zombie Chunk","","","","Guide To Dungeon Weaponry","","","","Memento Memori","","","","Where Am I Going?","","Compressed Cobblestone","","","","","","Desert Myrmex Stinger Glaive","","Molerats?!","","","","Fisherman's Man's Man V",""
"Buy a Gold Coin","","Lesser Bombing (Module)","","Steeleaf Armaments","","You Don't Understand How Fast I Really Am","","Engineer Certified","","Your Momium","","","","Eyes of Atum","","I Know The Way","","Bug Buster","","","","This Feels A Bit Sheer","","The Ugly Sister","","Banana Sapling","","Tier 1 Inferium Seeds","","","","Fire Water","","","","Hot And Hungry","","","","No Dragon Is Wild, Now...","","Me No Drum Drum, You Drum Drum!","","","","","","Bronze Ingot","","Spooky Scary Skeletons","","","","Cheating Death II",""
"The Street Lights Are On!","","Lesser Infinite Fuel (Module)","","Naga No More!","","Zanice","","Putting the POW in Pedestal","","Lamp of Growth","","","","Scepter Sage","","KISS Would Be WAY Jealous Of This Thing","","Am I Gonna Die?","","","","Tell Me Where It Hurts","","Dragon Tendies","","500x Spinach","","Pig Seeds","","","","Guide To Unique Weaponry","","","","Firecrackers","","","","Why Are You Ingoring Me?","","Quadruple Compressed Cobblestone","","","","","","Copper Spear","","Kobold Killer","","","","Myrmex Massacre",""
"A Nice Barrel","","Airship Balloon","","The Color Collector","","Peek-A-Booted","","Have You Paid the Pied Piper?","","Headband of Curiosity","","","","I Snagged This, Righht?","","Row Row Row Your Boat","","Fly Man!","","","","Fake Advice Givers","","A Rainbow Of Carnage","","Asparagus Seed","","Thaumium Seeds","","","","SUPER BONK","","","","Free Falling","","","","Surprise Me","","Portal, But With Items","","","","","","Lead Spear","","Wight Light","","","","Crazed Wizard Wrecker",""
"Catch em' All!","","Lesser Music (Module)","","CAUTION: FRAGILE","","Did You Chase, or Let It Come To You","","Village Scandal","","Arcane Grappler","","","","My Birthstone Is Pearl","","Valonite Armaments","","Classic Portal To Bugland","","","","The C-old Man","","Snotty Snot","","Walnut Sapling","","Blaze Seeds","","","","It's A Trap!","","","","One Of Many","","","","Trap Teleport","","Are You Who I'm Looking For?","","","","","","Steel Katana","","Burn The Witch!","","","","No Naga No!",""
"The Ur-Ghast's Ugly Wife","","Frame Upgrade (Tier 5)","","Fiery Pick","","Very Berry Blue","","Caster Blaster","","Emptying Essentia Transfuser","","","","The Old Fashion Way","","Two Is Better Than One","","","","","","100 Years Of Study","","Reptile Throwdown","","500x Pear","","This Pig Popped Out Of The Ground!","","","","Ducked Tape","","","","Eye Spy With My Salamander Eye","","","","Fire? Where? There? Got it.","","Magical Boomerang","","","","","","Desert Myrmex Chitin","","32x Block of Knightmetal","","","","Magical Mystical Mythical Magician IV",""
"Going Down in Value","","Core Upgrade (Tier 3)","","Bug Boy","","","","John, I Swear This Thing Is Leaking","","Essentia Mirror","","","","Atums's Homecoming","","Moonshine Maker 3000","","","","","","Electroblobic Encyclopedia","","Bug Boogers","","500x Asparagus","","Guardian Chunk","","","","BACK FOUL BEAST","","","","This One Makes Me Itch","","","","I'm watching you!","","I'm Really Resonating With You","","","","","","Golden Katana","","Steve, The Lurker Wrestler","","","","Shoulda Chosen The Sister",""
"Buy A Platinum Coin","","Balloon Upgrade (Tier 2)","","Bows of Power","","","","Making Moonshine!","","Arcane Pattern Crafter","","","","Lightning Trout","","Down With You, Hag!","","","","","","Mother Nature Can Be Scary","","Osteodracosis","","Pomegranate Sapling","","Wood Seeds","","","","Icarus's Ring","","","","Fortune Cookie? Coin? Same Thing.","","","","Can You Keep A Secret?","","Like A Furnace, But With A Hat On","","","","","","Bronze Katana","","Lamb-prey","","","","Batter Bandit IV",""
"Emerald Armor","","Airship - 'Airship'","","Twilight Forest End-Note","","","","Mineral Separatists","","Focus Pouch","","","","Atumian Idol","","Spunky Spores","","","","","","Sure To Burn","","Cool Blast Energy Drink!","","500x Papaya","","Octine Seeds","","","","Super Shankers","","","","I Cry Because I Don't Know How This Works","","","","Cyclops Times Two","","True God Killers","","","","","","Iron Dagger","","They Made A Promise","","","","The Cockatrice Conundrum",""
"Two Pen Clicks","","Engine Upgrade (Tier 4)","","Tickle Tickle Tickle!","","","","Lead Ingot","","Workbench Charger","","","","The Core Sage","","Wight's Are Always Right","","","","","","Necro-WHAT?","","Crate Kisses","","Rice Seed","","Spider Seeds","","","","Say Hello To Butter, And Cup","","","","The Unbreaking Cold","","","","Why Is Our Wifi So Slow?","","Plump Plumber","","","","","","Jungle Myrmex Stinger Warhammer","","Nip It At The Bud","","","","Magical Mystical Mythical Magician I",""
"Lily!!---","","","","Allergic To Grass","","","","The Closer I Am, the Hotter She Gets","","Stabilizer","","","","My Man-Crush?","","Indiana Bones","","","","","","Being Evil Is For Anyone","","I'm Not Ready To Be A Parent!","","Broccoli Seed","","Skeleton Chunk","","","","Pirate Perry","","","","Do Not Enter!","","","","Flint & Steel, But Electronic!","","The Pulsar Pulser","","","","","","Golden Spear","","Assassin Assassin","","","","Pharoah, With A "PH"",""
"I’m Too Sexy for My Shirt","","","","Special Scepters","","","","Charting the Fields","","Arcane Bellows","","","","","","Conquest And Expansion","","","","","","Either A Great Feat, Or A Pity Reward","","Mine Keeps Breaking","","Strawberry Seed","","Intermediary Mediator","","","","You Don't Really Know How Fast I Am","","","","Ice Mage's Second Friend","","","","Seems Like It's For Destroying?","","The Redstone Revolution","","","","","","Desert Myrmex Stinger Warhammer","","Angler Angler","","","","Trader Joe I",""
"What You Get for Christmas","","","","Steely Stealeaf","","","","Alright Gang, Let's Split Up!","","Cast Iron","","","","","","Crafted From Pieces","","","","","","Like Neo But With A Hood","","The Rainbow Tastes Like Pain","","500x Cassava","","Enderman Chunk","","","","Cooking But More... Evil","","","","Cold And Hungry","","","","Just Like The Warlocks Make!","","Getting Where You Need To Be","","","","","","Bronze Dagger","","Soup Or Soldier?","","","","Batter Bandit III",""
"Chester the Chest","","","","Scaled Security","","","","Jet Ci","","Recharge Pedestal","","","","","","Shiny And Sparkling!","","","","","","Bootleg Spellcasting","","Rite Of Passage","","500x Mango","","Creeper Chunk","","","","Electric Fence","","","","","","","","Drink From It","","","","","","","","Ice Dragonsteel Ingot","","64x Block of Diamond","","","","Rekting Ball II",""
"Bauble Head!","","","","Ghast's Hot Sauce","","","","Fire Stick Of Doom","","Infused Stone","","","","","","Lurker Skin Armaments (And Pouch!)","","","","","","Diary Paper","","A Big Block Of Crusties","","500x Persimmon","","Tier 5 Inferium Seeds","","","","I Have To Take A Test?","","","","","","","","Mad Duck?","","","","","","","","Ice Dragonsteel Katana","","Fire Stomper Outter","","","","Fisherman's Man's Man III",""
"Buy 25 Platinum Coins","","","","Phantom Helm","","","","Nickel Ingot","","Redstone Relay","","","","","","Quick Pick","","","","","","I'm Sweating A Storm!","","Burning Armaments","","Corn Seed","","Zombie Seeds","","","","","","","","","","","","The Unholy Trinity","","","","","","","","Ice Dragonsteel Warhammer","","Barrisheeeeeeshhhh","","","","Valkyrie Vanquisher",""
"25 Platinum Coin Turn-In","","","","The Abominable Snow-Man","","","","Go With The Flow","","Cloudstepper Ring","","","","","","Voodoo V2","","","","","","Magical Rocks","","Obey!","","500x Pawpaw","","Inferium Watering Can","","","","","","","","","","","","Your Own Realm!","","","","","","","","Diamond Dagger","","Let Em' Rip!","","","","Fisherman's Man's Man II",""
"Starting Equipment Selection!","","","","Arctic Hood","","","","STOP!","","Magic Tallow","","","","","","Porcuspine","","","","","","Something Is Brewing","","Poking a Soggy Piñata","","Soursop Sapling","","Prudentium Coal","","","","","","","","","","","","You Don't Understand","","","","","","","","Jungle Myrmex Dagger","","Hydra-ulics","","","","Someone Saw This Thing And Said Florida",""
"October Is the Best Month of Them All","","","","Hydra Chop","","","","POV: You’re a Skinwalker","","Alchemical Construct","","","","","","Anything Repellant","","","","","","Advanced Alakazam!","","Lycans Are Real Scared Now","","Lime Sapling","","Iron Seeds","","","","","","","","","","","","A Decent Job","","","","","","","","Electrum Dagger","","Script Seller","","","","Magical Mystical Mythical Magician III",""
"Stronghold Stormer","","","","The War Horn","","","","Crystal Cell?","","Nitor Night Light","","","","","","Tarfriend","","","","","","Dead Wisdom","","Fire In Our Hearts","","Gooseberry Sapling","","Coal Seeds","","","","","","","","","","","","CAUTION: WET","","","","","","","","Dawnstone Katana","","8 Legged Freaks","","","","Fisherman's Man's Man IV",""
