"Your Own Overworld","","High Flyin'","","The Twilight Forest (And Friends)","","Up In The Clouds","","The Core Of The Center Of The Overworld","","Lovecraft? No, Thaumcraft. (Unfinished)","","Paradise In Another Dimension","","The Endless Dunes","","Deep, Dark And Dank (Pre-Anidia Update | Unfinished)","","Buggin' Out","","Alone In The Dark (Unfinished)","","Some Wizardry Required (Unfinished)","","Dragons & Dungeons","","Pam Says You're A Farmer Now","","Growing Gold, Literally!","","The Most Unique Crops (Unfinished)","","Dungeon Tactics","","The Good And The Damned","","Reliquary (Of Ancient Artifacts!)","","Inventory Pets","","The Most Messy Chapter (Unfinished)","","Extra Utilities","","Interdimensional Adventures","","Caverns II (Unfinished)","","Spartan Weapons Collection","","The Grind Don't Stop","","Amazing Architects","","Feats of Strength",""
"Basic Information","","","","Beans Beans","","","","Playing the Victim","","Focal Manipulator","","","","","","Ancient Armaments","","","","","","Fighting Reality","","Wet Stick?","","500x Sesame Seeds","","Superium Seed Reprocessor","","","","","","","","","","","","It's All In The Wrist, John","","","","","","","","Jungle Myrmex Chitin","","Satisfaction Guardanteed","","","","Waystone Wanderer V",""
"Gift of the Gods","","","","","","","","Home Grown!","","Arcane Ear","","","","","","Items Love You","","","","","","Feel Good Robes","","Rise, Dragonknight of Flame","","500x Date","","Something More Furry","","","","","","","","","","","","Who's There?","","","","","","","","Flamed Dragonbone Throwing Axe","","64x Nickel Block","","","","The Triumphant Triune",""
"So Much to Experience!","","","","","","","","How Many Golems Does It Take to Change a Mantle Bulb?","","The Observational Assistant","","","","","","Just A Fixer-Upper","","","","","","Offensive Line Magic","","100 Grit","","500x Chestnut","","Is It Suppose To Grow Dead?","","","","","","","","","","","","Falling Sand","","","","","","","","Copper Ingot","","64x Lead Block","","","","Remnants Of A Remnant",""
"I Wish You Were a Puppy Forever!","","","","","","","","Like a Docking Station","","Alumentum","","","","","","The Most Angry Rock You've Ever Seen","","","","","","Healing Your Wounds","","Blue Saber","","Bean Seed","","Sapphire Seeds","","","","","","","","","","","","The Ground Bit Me!","","","","","","","","Dawnstone Ingot","","32x Block of Carminite","","","","Wizard Wrecker",""
"At Your Knuckle Tips","","","","","","","","If You Knew Where Every Tool Was","","Lamp of Fertility","","","","","","Are You Talking To Your Shield, Man?","","","","","","Ball of Hints","","BONK!","","500x Leek","","Stone Seeds","","","","","","","","","","","","Purple Pain!","","","","","","","","Bronze Warhammer","","Back To The Styx!","","","","Mob Mobster V",""
"25 Gold Coin Turn-In","","","","","","","","Power Leveling","","Ancient Stone","","","","","","Like ET But Way Better","","","","","","It's Kinda Cold","","Frozen Armaments","","Tomato Seed","","Syrmorite Seeds","","","","","","","","","","","","Wouldn't You Like To Know?","","","","","","","","Electrum Katana","","Weezer","","","","Waystone Wanderer II",""
"B Rated Restaurant but They Stay Open?!","","","","","","","","Dawnstone Armaments","","12x Nether Brick","","","","","","Weedwood Armaments","","","","","","Master of Masters","","Bootleg Predator","","500x Giga Pickle","","Cow Chunk","","","","","","","","","","","","This Seems Familiar","","","","","","","","Silver Ingot","","64x Tin Block","","","","Cheating Death IV",""
"Sensical Condensing","","","","","","","","You Thought You Couldn’t See Then?","","Runic Matrix","","","","","","Get Back!","","","","","","Advanced Sage Tome","","Apache Attack Helicopter","","500x White Mushroom","","Superium Apple","","","","","","","","","","","","007","","","","","","","","Golden Warhammer","","64x Block of Gold","","","","Whale Watchers",""
"Bigger Is Better!","","","","","","","","It’s Getting Kinda Steamy in Here","","You're Basically Iron Man","","","","","","Slimy Bone Armaments","","","","","","Believing In Battlemages","","Sings Like a Snake","","Lychee Sapling","","Tier 2 Inferium Seeds","","","","","","","","","","","","Stablized Enderporting!","","","","","","","","Fire Dragonsteel Katana","","Benevolent Malevolence","","","","Mob Mobster I",""
"A Certain Game I Know Has Nothing on Us Now!","","","","","","","","The Hot Box","","Verdant Heart Charm","","","","","","Self Sustaining Fire","","","","","","Studious Studying","","Super Shiner","","Garlic Seed","","Intermedium Seed Reprocessor","","","","","","","","","","","","The Autobed?","","","","","","","","Steel Warhammer","","Spirited","","","","Hydra Hunter",""
"The Biggest Wardrobe Ever","","","","","","","","The Worst Sewage System Ever","","Arcane Lamp","","","","","","Everything You Need to Know About Plants","","","","","","Bombs Away!","","Silver Is Better Than Gold","","Cantaloupe Seed","","Dirt Seeds","","","","","","","","","","","","Clean Your Shower Door!","","","","","","","","Jungle Myrmex Katana","","Shiny Scale Seller (Sea Sirens)","","","","Sea Snake? No, Much Worse.",""
"African Honey Bee Honey","","","","","","","","Combusting Up Laughing","","Thaumic Dioptra","","","","","","The Bark Amulet","","","","","","Shocking Wisdom","","Red Saber","","500x Lychee","","Pig Chunk","","","","","","","","","","","","So It's Always On?","","","","","","","","Ice Dragon Blood","","Shambler Shuffle","","","","Trader Joe II",""
"Atlantean Armaments","","","","","","","","Portability is Power","","Native Iron Cluster","","","","","","Seer Into The Future","","","","","","Bowl of ''Where'd my XP go?''","","Tremors... Like... 5? Or 6?","","Tomatillo Seed","","Void Metal Seeds","","","","","","","","","","","","John, Did You Fart?","","","","","","","","Copper Dagger","","64x Silver Block","","","","Magical Mystical Mythical Magician V",""
"Annual Grape Crushing Contest","","","","","","","","That Thing Your Dad Refuses to Turn On","","Glass Essentia Tube","","","","","","Ciminnanon.. Cinnimom... Syrmorite","","","","","","Sage, Mage? What's The Difference?","","The Blues","","Cabbage Seed","","Grow And Prosper!","","","","","","","","","","","","Making A Fashion Statement","","","","","","","","Nickel Ingot","","64x Chelicerae","","","","Troll Terminator",""
"The Take Me Back Block","","","","","","","","Like Breaking a Fire Hydrant","","Tools Of Creation","","","","","","Critter Killer V1.2","","","","","","The Good Stuff","","Spooky Scary Scale-tons","","500x Strawberry","","Slime Seeds","","","","","","","","","","","","Lazy Cheater","","","","","","","","Golden Dagger","","64x Dawnstone Block","","","","Destroyer Of The Dread",""
"Crate Control","","","","","","","","How Does He Take No Damage?","","I'm ready to go insane!","","","","","","I Have The Power!","","","","","","Warrior 101","","Red Death Worm Chitin","","500x Cashew","","Dye Seeds","","","","","","","","","","","","Put Your Glasses On!","","","","","","","","Void Metal Ingot","","64x Electrum Block","","","","Mob Mobster III",""
"Depth Upgrades","","","","","","","","The Router","","Purifying Bath Salts","","","","","","Lily Poppins","","","","","","What's Mana?","","Bestiary","","500x Garlic","","Inferium Apple","","","","","","","","","","","","Back To The... Present?","","","","","","","","Iron Katana","","The Darkest Magic","","","","Waystone Wanderer I",""
"You've Never Hated Silverfish More Than Now","","","","","","","","Electric Ingot?","","Eldritch Stone","","","","","","Censer","","","","","","Are These Robes Real?","","Yuck! It's All Orange And Slimy!","","500x Bellpepper","","Growing Gold, Literally","","","","","","","","","","","","Push-In","","","","","","","","Tin Dagger","","Wisk Away The Wights","","","","Waystone Wanderer IV",""
"Magic Rock","","","","","","","","Will It Explode?","","Essentia Smeltery","","","","","","Dimensional Disco Dance-Off","","","","","","","","Gift Of Neptune","","Home Improvements!","","Sulfur Seeds","","","","","","","","","","","","Johnny Applesprout","","","","","","","","Nickel Warhammer","","A Dire Circumstance","","","","Rekting Ball V",""
"New Home","","","","","","","","Igneus Cibus Auctor!","","Knowledge Is Power","","","","","","Edgy Mask Boy","","","","","","","","Willy Isn't So Free Anymore","","Peas Seed","","Obsidian Seeds","","","","","","","","","","","","It's Kinda Cold","","","","","","","","Diamond","","64x Aluminium Block","","","","Waystone Wanderer III",""
"Inventory Insanity","","","","","","","","As Normal as It Gets","","","","","","","","Hot Hot Hot!","","","","","","","","These Are The Withereens","","Blueberry Seed","","Water Seeds","","","","","","","","","","","","The Succ 3000","","","","","","","","Flamed Dragonbone Battleaxe","","Skull Seller (Monsters)","","","","Errand Boy",""
"Golden Granny","","","","","","","","Just Stick to the Code!","","","","","","","","Nice And Cozy, Just Like The First Quest Said","","","","","","","","120 Grit","","500x Pomegranate","","Slate Seeds","","","","","","","","","","","","LET THERE BE LIGHT!","","","","","","","","Jungle Myrmex Spear","","Pest Control","","","","Love At First Sight",""
"Buy 25 Gold Coins","","","","","","","","Under Pressure Performance","","","","","","","","Crunchy Compost","","","","","","","","Stay Golden Dragonman","","Kenaf Seed","","Limestone Seeds","","","","","","","","","","","","Powered Enchanter","","","","","","","","Flamed Dragonbone Katana","","Artefacft Trader (Silver)","","","","King Of The North",""
"Reminds Me of Someone From Terraria","","","","","","","","Are You Allergic to Anything?","","","","","","","","This Sounds Illegal But It's Not","","","","","","","","Sticky Sap","","Tamarind Sapling","","Soul Stoned","","","","","","","","","","","","Don't Get Thanos'd","","","","","","","","Steel Dagger","","32x Block of Octine","","","","Batter Bandit V",""
"Buy A Copper Coin","","","","","","","","Keg Party!","","","","","","","","Scab-- what?","","","","","","","","Cold As A Coward","","500x Lentils","","Basalt Seeds","","","","","","","","","","","","Independence","","","","","","","","Iron Ingot","","64x Lapis Lazuli Block","","","","Batter Bandit I",""
"Redstone Ready!","","","","","","","","Boom Bang Pow!","","","","","","","","Critter Catcher!","","","","","","","","Earthworms","","Rye Seed","","Inferium Seed Reprocessor","","","","","","","","","","","","Look What I Can Buy With My Union Money","","","","","","","","Copper Katana","","64x Catalyzing Gland","","","","Trader Joe IV",""
"Fishing in Style","","","","","","","","Is It Moving?","","","","","","","","A Necromancers Greatest Treasure","","","","","","","","Nobody Has Hurt Me!","","500x Peanut","","Creeper Seeds","","","","","","","","","","","","Run As Administrator","","","","","","","","Electrum Ingot","","64x Bronze Block","","","","Fisherman's Man's Man I",""
"Iron Tools","","","","","","","","It Ain’t Much, and It’s Hard Work","","","","","","","","O' Mighty Gods!","","","","","","","","Weezer","","Green Grape Seed","","Chicken Seeds","","","","","","","","","","","","The Level Factory","","","","","","","","Copper Warhammer","","64x Frozen Core","","","","Rekting Ball III",""
"Crafting Bad","","","","","","","","Quick Mix 3000","","","","","","","","Sticky Icky","","","","","","","","The Spicy Never-Lose-Me Gem","","500x Pecan","","Quicksilver Seeds","","","","","","","","","","","","I Believe I Can Fly!","","","","","","","","Bronze Spear","","Troll Hunters","","","","Trader Joe V",""
"Be Good While I'm Gone!","","","","","","","","This Wifi Signal Sucks","","","","","","","","Better Than Diamonds!","","","","","","","","You Look Like A Blood Worm!","","Grape Seed","","End Seeds","","","","","","","","","","","","The Biggest One Of Them All","","","","","","","","Desert Myrmex Warhammer","","Bark Wood!","","","","",""
"Jussstttt Right","","","","","","","","Yes, I Know Some of These Words","","","","","","","","It's Alive!!","","","","","","","","Together Forever!","","Pawpaw Sapling","","Basic","","","","","","","","","","","","How Can You See Into My Eyes","","","","","","","","Tin Katana","","Scarab Squasher","","","","",""
"25 Bronze Coin Turn-In","","","","","","","","Ashen Armaments","","","","","","","","Bunches O' Barrels","","","","","","","","Blown To Withereens","","500x Banana","","This Has To Just Be Drugs Right?","","","","","","","","","","","","The Forbidden Ritual","","","","","","","","Nickel Katana","","Big Bully","","","","",""
"Your Favorite Friend","","","","","","","","I Hear You!","","","","","","","","It's Like Glass?","","","","","","","","A Piece Of Darkness","","500x Avocado","","Tier 4 Inferium Seeds","","","","","","","","","","","","Be Gentle Now!","","","","","","","","Dragon Bone","","64x Slime Pearl","","","","",""
"Raisins In The Sun","","","","","","","","Focus, John, Focus","","","","","","","","Aim Like The Predator","","","","","","","","Yuck! It's All Green And Slimy!","","500x Parsnip","","My Little Monster","","","","","","","","","","","","Touchless Delivery","","","","","","","","Ice Dragonsteel Throwing Axe","","Tree Hugger","","","","",""
"Larry","","","","","","","","Blast-Off!","","","","","","","","Pet Graveyard","","","","","","","","You Can Say Anything To Me","","500x Onion","","Hell Spawn","","","","","","","","","","","","Turn It Down I Can't See!","","","","","","","","Tin Warhammer","","Slender Ender","","","","",""
"Teleportation Systems","","","","","","","","The Succ 3000","","","","","","","","","","","","","","","","Bigger Death Worm Egg","","500x Cabbage","","Gold Seeds","","","","","","","","","","","","Get Off My Lawn!","","","","","","","","Lead Warhammer","","On A Trip","","","","",""
"Lag Machines Were Never Easier","","","","","","","","Super Cinder Shotgun Attachment","","","","","","","","","","","","","","","","Bigfoot","","500x Plum","","Emerald Seeds","","","","","","","","","","","","I'm Just Attracted To Stuff","","","","","","","","Dragonbone Katana","","Nomad? No, I'm mad","","","","",""
"Heel!","","","","","","","","How to Break Your Toilet 101","","","","","","","","","","","","","","","","Burning Set Of Tools","","Plum Sapling","","How Prude","","","","","","","","","","","","Vip Access","","","","","","","","Electrum Spear","","64x Block of Iron","","","","",""
"Bounty Hunter","","","","","","","","Stay Gold, Pony Boy","","","","","","","","","","","","","","","","Rise, Dragonknight Of Frost","","Eggplant Seed","","Chicken Chunk","","","","","","","","","","","","Turn Left!","","","","","","","","Iron Warhammer","","Depths Soul","","","","",""
"Colossal Chests!","","","","","","","","The Bonded, the Transformed, and the Repaired","","","","","","","","","","","","","","","","Stone Cold Scalies","","500x Peach","","Supremium Coal","","","","","","","","","","","","Trophy Man","","","","","","","","Dragonbone Warhammer","","64x Withered Rib","","","","",""
"Wake Him Up!","","","","","","","","Ruined","","","","","","","","","","","","","","","","The Weakest Link","","Ginger Seed","","Help, There's Skeletons In My Garden!","","","","","","","","","","","","Ghost Busters!","","","","","","","","Tin Ingot","","Slave Trader","","","","",""
"Stink Eye","","","","","","","","Aluminium Ingot","","","","","","","","","","","","","","","","Fueled By Rage","","500x Peas","","Brass Seeds","","","","","","","","","","","","Power Goes In, Power Goes Out","","","","","","","","Iced Dragonbone Spear","","Artefact Trader (Gold)","","","","",""
"Ol' Trusty","","","","","","","","Charged Up!","","","","","","","","","","","","","","","","Arthropod Armaments","","500x Mustard Seeds","","I Can Grow... Dirt?","","","","","","","","","","","","Fake It Till You Make It!","","","","","","","","Nickel Dagger","","Dwindling Twilight","","","","",""
"JEI Info","","","","","","","","Cat in My What?","","","","","","","","","","","","","","","","Poking a Dry Piñata","","Iron Chef Steve","","Ghast Seeds","","","","","","","","","","","","Making Your Own Schedule","","","","","","","","Desert Myrmex Katana","","64x Rib Bone","","","","",""
"Ritual Offerings","","","","","","","","Whipping the Wildfire","","","","","","","","","","","","","","","","Death Worm Egg","","Rhubarb Seed","","Ender Amethyst Seeds","","","","","","","","","","","","The Basic Super Router 3000","","","","","","","","Nickel Spear","","Scale Seller (Sea Serpents)","","","","",""
"The Darkest Ages","","","","","","","","Camel What?","","","","","","","","","","","","","","","","Sasquatch","","500x Arrowroot","","Experience Seeds","","","","","","","","","","","","ASMR But For Your Eyes","","","","","","","","Jungle Myrmex Stinger Spear","","Slime Slosher","","","","",""
"Buy 25 Copper Coins","","","","","","","","Ahh.. I See the Problem","","","","","","","","","","","","","","","","","","Catch O' The Day!","","Sheep Chunk","","","","","","","","","","","","Calculated Parkour","","","","","","","","Electrum Warhammer","","Artefact Trader (Sapphire)","","","","",""
"Tell Me About the Rabbits ...","","","","","","","","Drop It Low","","","","","","","","","","","","","","","","","","500x Olive","","Intermedium Apple","","","","","","","","","","","","Quick-Time Events!","","","","","","","","Diamond Warhammer","","Pharaoh Fighter","","","","",""
"Blue Fire? Blue Fire!","","","","","","","","Journey to the Center of the Earth","","","","","","","","","","","","","","","","","","Cashew Sapling","","Superium Coal","","","","","","","","","","","","Any Sound You Want!","","","","","","","","Diamond Spear","","Ssssss","","","","",""
"Your Guide to Simple Golemancy","","","","","","","","The Hottest Fashion","","","","","","","","","","","","","","","","","","500x Seaweed","","Redstone Seeds","","","","","","","","","","","","Powdered Magnetite","","","","","","","","Jungle Myrmex Stinger Greatsword","","Cloud Chaser","","","","",""
"Old Yeller","","","","","","","","A Glimmer in the Darkness","","","","","","","","","","","","","","","","","","500x Sisal","","Prudentium Apple","","","","","","","","","","","","My Floo Fireplace?","","","","","","","","Fire Dragonsteel Throwing Axe","","Artefact Trader (Ruby)","","","","",""
"Build a Bridge Workshop!","","","","","","","","The Stay-Hot-Stuff","","","","","","","","","","","","","","","","","","500x Guava","","Slimy Bone Seeds","","","","","","","","","","","","Bootleg Item Breaker","","","","","","","","Desert Myrmex Spear","","O' Mighty Challenger","","","","",""
"A Good Hobby","","","","","","","","If the Dwarves Made Greek Fire","","","","","","","","","","","","","","","","","","Idiot Sandwich","","Ice Seeds","","","","","","","","","","","","The Spectre What?","","","","","","","","Flamed Dragonbone Battleaxe","","Take A Shower For Once!","","","","",""
"Breeding Bone","","","","","","","","The Fire Thermometer","","","","","","","","","","","","","","","","","","500x Winter Squash","","Blaze Chunk","","","","","","","","","","","","Night Light","","","","","","","","Silver Warhammer","","More Minotaurs!","","","","",""
"Basic Drawer","","","","","","","","Mystical Mystery","","","","","","","","","","","","","","","","","","500x Turnip","","Wither Skeleton Seeds","","","","","","","","","","","","It's Called Being Sophisticated","","","","","","","","Flamed Dragonbone Spear","","Worse Than Tremors","","","","",""
"Mark of the Doggy","","","","","","","","Pump It (Louder!)","","","","","","","","","","","","","","","","","","Papaya Sapling","","Rabbit Chunk","","","","","","","","","","","","That Library From Avatar","","","","","","","","Dawnstone Spear","","Slip N' Slider","","","","",""
"Cujo No!","","","","","","","","Fire Power","","","","","","","","","","","","","","","","","","Raspberry Seed","","Intermedium Coal","","","","","","","","","","","","Bob","","","","","","","","Fire Dragonsteel Ingot","","Tar-Tar Binks","","","","",""
"Like a Hopper, but Up.","","","","","","","","","","","","","","","","","","","","","","","","","","500x Chili Pepper","","Cow Seeds","","","","","","","","","","","","HEIMDALLR","","","","","","","","Fire Dragonsteel Warhammer","","Apocalypse Now","","","","",""
"Visit the Nether!","","","","","","","","","","","","","","","","","","","","","","","","","","500x Tea Leaf","","Soulium Schmolium","","","","","","","","","","","","He Slipped And Slid Forever","","","","","","","","Steel Ingot","","Ender Bender","","","","",""
"Harder than a Hard Hat!","","","","","","","","","","","","","","","","","","","","","","","","","","Jute Seed","","Inferium Coal","","","","","","","","","","","","GMD","","","","","","","","Silver Katana","","Cold Case","","","","",""
"Hot Rod","","","","","","","","","","","","","","","","","","","","","","","","","","500x Jackfruit","","Lapis Lazuli Seeds","","","","","","","","","","","","Street Lights","","","","","","","","","","Skull Seller (Dragons)","","","","",""
"Platinum Coin Turn-In","","","","","","","","","","","","","","","","","","","","","","","","","","Cranberry Seed","","The Template","","","","","","","","","","","","Hot And Melty!","","","","","","","","","","Night Night Knight!","","","","",""
"Buy A Silver Coin","","","","","","","","","","","","","","","","","","","","","","","","","","500x Broccoli","","Infrared?","","","","","","","","","","","","Scary AND Spooky!","","","","","","","","","","Urrghhhh","","","","",""
"The Deep Dank Dark","","","","","","","","","","","","","","","","","","","","","","","","","","500x Raspberry","","Why Are All My Crops Withering?","","","","","","","","","","","","The Energy Is In The Rhythm","","","","","","","","","","Queen Quiller","","","","",""
"Woopty Wopty Stone","","","","","","","","","","","","","","","","","","","","","","","","","","Winter Squash Seed","","Spider Chunk","","","","","","","","","","","","Watching You Watch Me","","","","","","","","","","Wither Beater","","","","",""
"Premium Pole","","","","","","","","","","","","","","","","","","","","","","","","","","500x Grapefruit","","Chunky Chunks","","","","","","","","","","","","Dim The Dimmer, Baby","","","","","","","","","","Artefact Trader (Emerald)","","","","",""
"I Bet This Would Go Good on Bread","","","","","","","","","","","","","","","","","","","","","","","","","","500x Blackberry","","Jade Seeds","","","","","","","","","","","","An Apple A Day... Makes You Grow Taller?","","","","","","","","","","64x Eye of the Storm","","","","",""
"Dentabites!","","","","","","","","","","","","","","","","","","","","","","","","","","500x Tomatillo","","SUPREME","","","","","","","","","","","","Fun And Games","","","","","","","","","","32x Enchanted Gravitite","","","","",""
"Super Tent Mallet","","","","","","","","","","","","","","","","","","","","","","","","","","Celery Seed","","Enderman Seeds","","","","","","","","","","","","You're Not Very Creative Huh?","","","","","","","","","","64x Block of Redstone","","","","",""
"Supporting Your New Bad Habit","","","","","","","","","","","","","","","","","","","","","","","","","","500x Beet","","Nether Seeds","","","","","","","","","","","","This Is Kinda Harsh, Don't You Think?","","","","","","","","","","500x Zanite Block","","","","",""
"BACON?!","","","","","","","","","","","","","","","","","","","","","","","","","","Juniperberry Seed","","Supremium Watering Can","","","","","","","","","","","","The Laddoor","","","","","","","","","","32x Block of Ironwood","","","","",""
"Johnny's Apple Seeds","","","","","","","","","","","","","","","","","","","","","","","","","","500x Dragonfruit","","Prudentium Seed Reprocessor","","","","","","","","","","","","ZOINKS","","","","","","","","","","Whalers","","","","",""
"Capitol - 7500 Blocks","","","","","","","","","","","","","","","","","","","","","","","","","","Passion Fruit Sapling","","Diamond Seeds","","","","","","","","","","","","Up We Go!","","","","","","","","","","64x Block of Coal","","","","",""
"Fetch Boy!","","","","","","","","","","","","","","","","","","","","","","","","","","Jackfruit Sapling","","Soul Stealer","","","","","","","","","","","","Dead Man Walking","","","","","","","","","","Bug Beater","","","","",""
"Iron Armor","","","","","","","","","","","","","","","","","","","","","","","","","","Dragonfruit Sapling","","Guardian Seeds","","","","","","","","","","","","Treasure In The Slime!","","","","","","","","","","32x Block of Steeleaf","","","","",""
"The Movers","","","","","","","","","","","","","","","","","","","","","","","","","","Elderberry Seed","","Knightmetal Seeds","","","","","","","","","","","","The Imbowment Station","","","","","","","","","","Chiromawnsters","","","","",""
"Amethyst Armaments","","","","","","","","","","","","","","","","","","","","","","","","","","Turnip Seed","","","","","","","","","","","","","","I Know You're Out There!","","","","","","","","","","Aechorologist","","","","",""
"The All-Knowing Almanac","","","","","","","","","","","","","","","","","","","","","","","","","","500x Cranberry","","","","","","","","","","","","","","Teletoken!","","","","","","","","","","64x Zombie Heart","","","","",""
"Sid the Obsidian","","","","","","","","","","","","","","","","","","","","","","","","","","Durian Sapling","","","","","","","","","","","","","","Back Bessy!","","","","","","","","","","64x Molten Core","","","","",""
"Burn It!","","","","","","","","","","","","","","","","","","","","","","","","","","Bamboo Shoot Seed","","","","","","","","","","","","","","''Set A Reminder For 2:00 PM''","","","","","","","","","","32x Block of Valonite","","","","",""
"The Hottest Cup of Joe Ever","","","","","","","","","","","","","","","","","","","","","","","","","","Peach Sapling","","","","","","","","","","","","","","Santa Has One Of These","","","","","","","","","","","","","","",""
"Oh, You Keep Bees Now?","","","","","","","","","","","","","","","","","","","","","","","","","","Cotton Seed","","","","","","","","","","","","","","Moonstoned","","","","","","","","","","","","","","",""
"Bound by the Keys","","","","","","","","","","","","","","","","","","","","","","","","","","Blackberry Seed","","","","","","","","","","","","","","The Item Launcher","","","","","","","","","","","","","","",""
"Silver Coin Turn-In","","","","","","","","","","","","","","","","","","","","","","","","","","Nutmeg Sapling","","","","","","","","","","","","","","Isn't This Supposed To Get Rid Of Spiders?","","","","","","","","","","","","","","",""
"25 Silver Coin Turn-In","","","","","","","","","","","","","","","","","","","","","","","","","","500x Apricot","","","","","","","","","","","","","","Handful Of Lightning","","","","","","","","","","","","","","",""
